INDEX	H2	SE	CHISQ	P
1	1.94638e-01	1.86724e-02	1.08656e+02	1.93082e-25
2	1.76402e-01	1.86243e-02	8.97115e+01	2.75543e-21
3	1.84607e-01	1.86461e-02	9.80214e+01	4.13880e-23
4	1.64392e-01	1.85919e-02	7.81838e+01	9.38834e-19
5	1.76428e-01	1.86243e-02	8.97374e+01	2.71964e-21
6	1.56473e-01	1.85702e-02	7.09971e+01	3.57750e-17
7	1.71081e-01	1.86100e-02	8.45107e+01	3.82134e-20
8	1.50012e-01	1.85524e-02	6.53806e+01	6.17430e-16
9	1.61797e-01	1.85848e-02	7.57925e+01	3.15093e-18
10	2.02505e-01	1.86928e-02	1.17361e+02	2.39339e-27
11	2.05501e-01	1.87005e-02	1.20760e+02	4.31367e-28
12	1.87097e-01	1.86527e-02	1.00613e+02	1.11831e-23
13	2.15528e-01	1.87261e-02	1.32468e+02	1.18167e-30
14	1.97330e-01	1.86794e-02	1.11599e+02	4.37477e-26
15	1.75663e-01	1.86223e-02	8.89804e+01	3.98736e-21
16	1.96265e-01	1.86767e-02	1.10430e+02	7.88786e-26
17	1.97026e-01	1.86786e-02	1.11265e+02	5.17724e-26
18	1.82989e-01	1.86418e-02	9.63555e+01	9.60001e-23
19	1.78234e-01	1.86292e-02	9.15369e+01	1.09529e-21
20	1.79233e-01	1.86318e-02	9.25394e+01	6.59963e-22
21	1.82496e-01	1.86405e-02	9.58505e+01	1.23896e-22
22	1.66381e-01	1.85973e-02	8.00405e+01	3.66820e-19
23	1.65484e-01	1.85949e-02	7.92002e+01	5.61243e-19
24	1.67976e-01	1.86016e-02	8.15446e+01	1.71354e-19
25	1.73656e-01	1.86169e-02	8.70096e+01	1.07998e-20
26	1.56301e-01	1.85698e-02	7.08455e+01	3.86321e-17
27	1.54744e-01	1.85655e-02	6.94730e+01	7.74662e-17
28	1.58696e-01	1.85763e-02	7.29811e+01	1.30897e-17
29	1.68751e-01	1.86037e-02	8.22802e+01	1.18097e-19
30	1.50217e-01	1.85530e-02	6.55558e+01	5.64928e-16
31	1.48640e-01	1.85486e-02	6.42171e+01	1.11437e-15
32	1.49613e-01	1.85513e-02	6.50416e+01	7.33343e-16
33	1.58683e-01	1.85763e-02	7.29699e+01	1.31643e-17
34	1.40031e-01	1.85246e-02	5.71414e+01	4.05586e-14
35	1.52464e-01	1.85592e-02	6.74867e+01	2.12115e-16
36	1.49437e-01	1.85508e-02	6.48914e+01	7.91422e-16
