INDEX	H2	H2_SE	H2_CHISQ	H2_P	GC	GC_SE	GC_CHISQ	GC_P
1	1.53162e-01	1.31124e-02	1.36439e+02	1.59969e-31	-1.02642e-02	5.81248e-02	3.11835e-02	8.59832e-01
2	1.37539e-01	1.30508e-02	1.11065e+02	5.72570e-26	-1.20975e-02	6.05686e-02	3.98931e-02	8.41690e-01
3	1.40873e-01	1.30640e-02	1.16278e+02	4.13045e-27	-4.36983e-03	6.07429e-02	5.17534e-03	9.42650e-01
4	1.29146e-01	1.30171e-02	9.84313e+01	3.36498e-23	-1.94823e-02	6.06818e-02	1.03077e-01	7.48168e-01
5	1.34420e-01	1.30383e-02	1.06289e+02	6.37302e-25	-1.13085e-02	6.10135e-02	3.43524e-02	8.52959e-01
6	1.26064e-01	1.30046e-02	9.39695e+01	3.20425e-22	-3.53294e-02	5.88504e-02	3.60390e-01	5.48290e-01
7	1.33283e-01	1.30337e-02	1.04572e+02	1.51599e-24	-2.57146e-02	5.88721e-02	1.90784e-01	6.62265e-01
8	1.22469e-01	1.29900e-02	8.88864e+01	4.18149e-21	-6.00285e-02	5.76703e-02	1.08345e+00	2.97926e-01
9	1.30096e-01	1.30209e-02	9.98263e+01	1.66363e-23	-5.00002e-02	5.70559e-02	7.67964e-01	3.80848e-01
10	1.64405e-01	1.31559e-02	1.56168e+02	7.77957e-36	-6.63070e-03	5.50336e-02	1.45165e-02	9.04099e-01
11	1.65134e-01	1.31587e-02	1.57489e+02	4.00173e-36	7.02930e-04	5.48903e-02	1.63996e-04	9.89783e-01
12	1.51224e-01	1.31048e-02	1.33162e+02	8.33195e-31	1.11866e-02	5.70314e-02	3.84738e-02	8.44495e-01
13	1.71442e-01	1.31827e-02	1.69132e+02	1.14513e-38	2.52158e-03	5.45003e-02	2.14066e-03	9.63097e-01
14	1.55488e-01	1.31215e-02	1.40420e+02	2.15479e-32	1.29970e-02	5.67813e-02	5.23929e-02	8.18951e-01
15	1.40673e-01	1.30633e-02	1.15964e+02	4.84107e-27	2.43384e-02	5.89607e-02	1.70396e-01	6.79760e-01
16	1.52842e-01	1.31112e-02	1.35895e+02	2.10413e-31	-1.47003e-03	5.81825e-02	6.38365e-04	9.79843e-01
17	1.51293e-01	1.31051e-02	1.33277e+02	7.86465e-31	8.17217e-03	5.84617e-02	1.95403e-02	8.88829e-01
18	1.38822e-01	1.30559e-02	1.13059e+02	2.09444e-26	2.08341e-02	6.03606e-02	1.19136e-01	7.29973e-01
19	1.40352e-01	1.30620e-02	1.15456e+02	6.25245e-27	-1.57840e-02	5.93702e-02	7.06803e-02	7.90349e-01
20	1.36876e-01	1.30481e-02	1.10043e+02	9.59049e-26	-2.99802e-03	6.10189e-02	2.41402e-03	9.60814e-01
21	1.34518e-01	1.30387e-02	1.06437e+02	5.91416e-25	1.12620e-02	6.18969e-02	3.31048e-02	8.55624e-01
22	1.17914e-01	1.29713e-02	8.26339e+01	9.87471e-20	2.36647e-02	6.50258e-02	1.32443e-01	7.15912e-01
23	1.33016e-01	1.30327e-02	1.04170e+02	1.85724e-24	-2.45445e-02	5.90019e-02	1.73052e-01	6.77413e-01
24	1.28943e-01	1.30163e-02	9.81355e+01	3.90714e-23	-8.75363e-03	6.10702e-02	2.05455e-02	8.86024e-01
25	1.24753e-01	1.29993e-02	9.21005e+01	8.23849e-22	7.95250e-03	6.27913e-02	1.60402e-02	8.99218e-01
26	1.03480e-01	1.29115e-02	6.42342e+01	1.10473e-15	1.34692e-02	6.74859e-02	3.98341e-02	8.41805e-01
27	1.27049e-01	1.30086e-02	9.53860e+01	1.56658e-22	-4.26294e-02	5.80768e-02	5.38781e-01	4.62938e-01
28	1.25563e-01	1.30026e-02	9.32538e+01	4.60016e-22	-2.30118e-02	5.91394e-02	1.51408e-01	6.97194e-01
29	1.23768e-01	1.29953e-02	9.07084e+01	1.66488e-21	-6.71333e-03	6.01786e-02	1.24449e-02	9.11175e-01
30	9.84641e-02	1.28903e-02	5.83481e+01	2.19608e-14	-1.14361e-02	6.58529e-02	3.01581e-02	8.62132e-01
31	1.21456e-01	1.29858e-02	8.74779e+01	8.52286e-21	-6.78292e-02	5.77149e-02	1.38120e+00	2.39897e-01
32	1.20683e-01	1.29827e-02	8.64100e+01	1.46247e-20	-4.76048e-02	5.80340e-02	6.72879e-01	4.12050e-01
33	1.21390e-01	1.29856e-02	8.73865e+01	8.92577e-21	-3.13985e-02	5.81767e-02	2.91287e-01	5.89397e-01
34	9.62289e-02	1.28809e-02	5.58109e+01	7.97882e-14	-4.93876e-02	6.40719e-02	5.94156e-01	4.40816e-01
35	1.19705e-01	1.29787e-02	8.50669e+01	2.88434e-20	-9.76992e-02	5.77945e-02	2.85765e+00	9.09404e-02
36	1.18158e-01	1.29723e-02	8.29640e+01	8.35597e-20	-7.75053e-02	5.79079e-02	1.79138e+00	1.80758e-01
37	1.16722e-01	1.29664e-02	8.10341e+01	2.21860e-19	-6.16502e-02	5.85612e-02	1.10828e+00	2.92456e-01
38	9.49820e-02	1.28756e-02	5.44186e+01	1.62021e-13	-8.61211e-02	6.43564e-02	1.79076e+00	1.80834e-01
39	1.25190e-01	1.30011e-02	9.27214e+01	6.01996e-22	-1.24662e-01	5.74058e-02	4.71583e+00	2.98861e-02
