"","seqnames","start","end","width","strand","gene_id"
"1","chr19",58871215,58877214,6000,"-","1"
"2","chr8",18245755,18251754,6000,"+","10"
"3","chr20",43277377,43283376,6000,"-","100"
"4","chr18",25754446,25760445,6000,"-","1000"
"5","chr1",244003887,244009886,6000,"-","10000"
"6","chrX",49214763,49220762,6000,"+","100008586"
"7","chr3",101392274,101398273,6000,"+","100009676"
"8","chr14",71064385,71070384,6000,"-","10001"
"9","chr15",72099894,72105893,6000,"+","10002"
"10","chr11",89864818,89870817,6000,"+","10003"
"11","chr15",25293623,25299622,6000,"+","100033413"
"12","chr15",25296356,25302355,6000,"+","100033414"
"13","chr15",25299006,25305005,6000,"+","100033415"
"14","chr15",25301684,25307683,6000,"+","100033416"
"15","chr15",25304479,25310478,6000,"+","100033417"
"16","chr15",25312578,25318577,6000,"+","100033420"
"17","chr15",25316260,25322259,6000,"+","100033422"
"18","chr15",25318075,25324074,6000,"+","100033423"
"19","chr15",25319197,25325196,6000,"+","100033424"
"20","chr15",25321204,25327203,6000,"+","100033425"
"21","chr15",25323433,25329432,6000,"+","100033427"
"22","chr15",25324914,25330913,6000,"+","100033428"
"23","chr15",25327531,25333530,6000,"+","100033430"
"24","chr15",25329808,25335807,6000,"+","100033431"
"25","chr15",25332059,25338058,6000,"+","100033433"
"26","chr15",25333932,25339931,6000,"+","100033434"
"27","chr15",25336183,25342182,6000,"+","100033435"
"28","chr15",25339809,25345808,6000,"+","100033436"
"29","chr15",25414782,25420781,6000,"+","100033437"
"30","chr15",25341645,25347644,6000,"+","100033438"
"31","chr15",25417074,25423073,6000,"+","100033440"
"32","chr15",25418979,25424978,6000,"+","100033441"
"33","chr15",25420885,25426884,6000,"+","100033442"
"34","chr15",25422644,25428643,6000,"+","100033443"
"35","chr15",25424532,25430531,6000,"+","100033444"
"36","chr15",25426453,25432452,6000,"+","100033445"
"37","chr15",25427778,25433777,6000,"+","100033446"
"38","chr15",25429683,25435682,6000,"+","100033447"
"39","chr15",25431561,25437560,6000,"+","100033448"
"40","chr15",25435468,25441467,6000,"+","100033450"
"41","chr15",25437068,25443067,6000,"+","100033451"
"42","chr15",25441595,25447594,6000,"+","100033454"
"43","chr15",25443470,25449469,6000,"+","100033455"
"44","chr15",25452065,25458064,6000,"+","100033799"
"45","chr15",25457688,25463687,6000,"+","100033801"
"46","chr15",25460764,25466763,6000,"+","100033802"
"47","chr15",25467350,25473349,6000,"+","100033804"
"48","chr15",25469256,25475255,6000,"+","100033805"
"49","chr15",25471114,25477113,6000,"+","100033806"
"50","chr15",25472985,25478984,6000,"+","100033807"
"51","chr15",25476394,25482393,6000,"+","100033809"
"52","chr15",25480133,25486132,6000,"+","100033811"
"53","chr15",25481985,25487984,6000,"+","100033812"
"54","chr15",25483893,25489892,6000,"+","100033813"
"55","chr15",25485761,25491760,6000,"+","100033814"
"56","chr15",25487625,25493624,6000,"+","100033815"
"57","chr15",25493006,25499005,6000,"+","100033818"
"58","chr11",2015062,2021061,6000,"-","100033819"
"59","chr15",25346788,25352787,6000,"+","100033820"
"60","chr15",25348667,25354666,6000,"+","100033821"
"61","chr15",25511930,25517929,6000,"+","100033822"
"62","chr15",25455806,25461805,6000,"+","100036563"
"63","chr15",25462650,25468649,6000,"+","100036564"
"64","chr15",25464501,25470500,6000,"+","100036565"
"65","chr15",25506674,25512673,6000,"+","100036566"
"66","chr15",25510664,25516663,6000,"+","100036567"
"67","chr22",24306026,24312025,6000,"+","100037417"
"68","chr10",102887904,102893903,6000,"-","100038246"
"69","chr11",64823015,64829014,6000,"-","10004"
"70","chr9",21991790,21997789,6000,"+","100048912"
"71","chr5",70582524,70588523,6000,"-","100049076"
"72","chr19",52147133,52153132,6000,"-","100049587"
"73","chr20",44483049,44489048,6000,"-","10005"
"74","chr10",27147017,27153016,6000,"-","10006"
"75","chr5",141389621,141395620,6000,"-","10007"
"76","chr19",57349270,57355269,6000,"+","100073347"
"77","chr11",74175601,74181600,6000,"-","10008"
"78","chrX",119381607,119387606,6000,"+","10009"
"79","chr4",119196917,119202916,6000,"+","100093630"
"80","chrX",13325771,13331770,6000,"+","100093698"
"81","chr16",68675151,68681150,6000,"+","1001"
"82","chr2",161990466,161996465,6000,"+","10010"
"83","chr19",24343250,24349249,6000,"-","100101266"
"84","chr7",75112569,75118568,6000,"-","100101267"
"85","chr18",32867197,32873196,6000,"-","100101467"
"86","chr20",30132185,30138184,6000,"+","100101490"
"87","chrX",49185094,49191093,6000,"+","100101629"
"88","chr13",19916114,19922113,6000,"-","100101938"
"89","chr5",139934679,139940678,6000,"-","10011"
"90","chr20",2440694,2446693,6000,"-","100113378"
"91","chr9",33949853,33955852,6000,"-","100113379"
"92","chr3",52721754,52727753,6000,"+","100113381"
"93","chr19",10217425,10223424,6000,"+","100113382"
"94","chr5",9545939,9551938,6000,"+","100113384"
"95","chr20",62581737,62587736,6000,"+","100113386"
"96","chr14",45577078,45583077,6000,"+","100113389"
"97","chr14",20791699,20797698,6000,"-","100113391"
"98","chr2",203153040,203159039,6000,"+","100113392"
"99","chr20",47893850,47899849,6000,"+","100113393"
"100","chr16",70560402,70566401,6000,"+","100113402"
"101","chr6",105385403,105391402,6000,"-","100113403"
"102","chr9",13924970,13930969,6000,"+","100113404"
"103","chr6",11535460,11541459,6000,"+","100113407"
"104","chr15",102492088,102498087,6000,"+","100124412"
"105","chr18",47012695,47018694,6000,"-","100124516"
"106","chr6",8083767,8089766,6000,"-","100124533"
"107","chr9",95051876,95057875,6000,"-","100124534"
"108","chr2",69744304,69750303,6000,"-","100124535"
"109","chr17",65733786,65739785,6000,"+","100124536"
