seqnames,start,end,width,strand,gene_id
chr19,58359752,58365751,6000,-,1
chr8,18388282,18394281,6000,+,10
chr20,44649234,44655233,6000,-,100
chr18,28174131,28180130,6000,-,1000
chr11,70072434,70078433,6000,-,100009613
chr10,68007863,68013862,6000,-,100009667
chr3,101673475,101679474,6000,+,100009676
chr14,70638205,70644204,6000,-,10001
chr15,71789638,71795637,6000,+,10002
chr16,75698462,75704461,6000,-,100033411
chr15,25048477,25054476,6000,+,100033413
chr15,25051210,25057209,6000,+,100033414
chr15,25053860,25059859,6000,+,100033415
chr15,25056538,25062537,6000,+,100033416
chr15,25059333,25065332,6000,+,100033417
chr15,25067432,25073431,6000,+,100033420
chr15,25071114,25077113,6000,+,100033422
chr15,25072929,25078928,6000,+,100033423
chr15,25074051,25080050,6000,+,100033424
chr15,25076058,25082057,6000,+,100033425
chr15,25077142,25083141,6000,+,100033426
chr15,25078287,25084286,6000,+,100033427
chr15,25079768,25085767,6000,+,100033428
chr15,25082385,25088384,6000,+,100033430
chr15,25084661,25090660,6000,+,100033431
chr15,25085804,25091803,6000,+,100033432
chr15,25086923,25092922,6000,+,100033433
chr15,25088786,25094785,6000,+,100033434
chr15,25091037,25097036,6000,+,100033435
chr15,25094663,25100662,6000,+,100033436
chr15,25169635,25175634,6000,+,100033437
chr15,25096499,25102498,6000,+,100033438
chr15,25098575,25104574,6000,+,100033439
chr15,25171927,25177926,6000,+,100033440
chr15,25173832,25179831,6000,+,100033441
chr15,25175738,25181737,6000,+,100033442
chr15,25177497,25183496,6000,+,100033443
chr15,25179385,25185384,6000,+,100033444
chr15,25181306,25187305,6000,+,100033445
chr15,25182631,25188630,6000,+,100033446
chr15,25184536,25190535,6000,+,100033447
chr15,25186414,25192413,6000,+,100033448
chr15,25190321,25196320,6000,+,100033450
chr15,25191921,25197920,6000,+,100033451
chr15,25194576,25200575,6000,+,100033453
chr15,25196448,25202447,6000,+,100033454
chr15,25198323,25204322,6000,+,100033455
chr15,25203262,25209261,6000,+,100033460
chr15,25240614,25246613,6000,+,100033603
chr15,25206918,25212917,6000,+,100033799
chr15,25208796,25214795,6000,+,100033800
chr15,25212541,25218540,6000,+,100033801
chr15,25215617,25221616,6000,+,100033802
chr15,25222203,25228202,6000,+,100033804
chr15,25224109,25230108,6000,+,100033805
chr15,25225967,25231966,6000,+,100033806
chr15,25227838,25233837,6000,+,100033807
chr15,25229387,25235386,6000,+,100033808
chr15,25231247,25237246,6000,+,100033809
chr15,25234986,25240985,6000,+,100033811
chr15,25236838,25242837,6000,+,100033812
chr15,25238746,25244745,6000,+,100033813
chr15,25242478,25248477,6000,+,100033815
chr15,25247859,25253858,6000,+,100033818
chr11,1993832,1999831,6000,-,100033819
chr15,25101642,25107641,6000,+,100033820
chr15,25103521,25109520,6000,+,100033821
chr15,25266783,25272782,6000,+,100033822
chr1,148011957,148017956,6000,-,100034743
chr15,25210648,25216647,6000,+,100036563
chr15,25217497,25223496,6000,+,100036564
chr15,25219348,25225347,6000,+,100036565
chr15,25261510,25267509,6000,+,100036566
chr15,25265466,25271465,6000,+,100036567
chr10,101128127,101134126,6000,-,100038246
chr11,65055554,65061553,6000,-,10004
chr9,21991139,21997138,6000,+,100048912
chr19,51643802,51649801,6000,-,100049587
chr12,627858,633857,6000,+,100049716
chr20,45854406,45860405,6000,-,10005
chr10,26858088,26864087,6000,-,10006
chr5,142010042,142016041,6000,-,10007
chr19,56837866,56843865,6000,+,100073347
chr11,74464730,74470729,6000,-,10008
chrX,120247752,120253751,6000,+,10009
chr4,118275709,118281708,6000,+,100093630
chrX,13307652,13313651,6000,+,100093698
chr16,68641993,68647992,6000,+,1001
